"Composite Scores For Private, Non-Profit and Proprietary Institutions with Fiscal Years Ending Between 7/1/2022 and 6/30/2023
Grouped by:  State, Institution Name
23.0,00104100,Spring Hill College,Mobile,AL,36608-1791,45107.0,Non Profit,2.0
24.0,00104400,Stillman College,Tuscaloosa,AL,35401-1430,45107.0,Non Profit,2.5
25.0,00104600,Talladega College,Talladega,AL,35160-2354,45107.0,Non Profit,3.0
26.0,00105000,Tuskegee University,Tuskegee Institute,AL,36088-1645,45107.0,Non Profit,3.0
27.0,02170600,United States Sports Academy,Daphne,AL,36526-7055,44804.0,Non Profit,2.2
28.0,04197500,University Academy of Hair Design,Tuscaloosa,AL,35401-5621,44926.0,Proprietary,3.0
29.0,00102900,University of Mobile,Mobile,AL,36663-0220,45107.0,Non Profit,3.0
30.0,04273500,Winonah's International School of Cosmetology,Hoover,AL,35244-7103,44926.0,Proprietary,2.4
31.0,04149200,Xcell Academy A Paul Mitchell School,Hoover,AL,35216-4990,44926.0,Proprietary,1.8
32.0,04241800,Academy of Professional Cosmetology,Rogers,AR,72756-2084,45107.0,Proprietary,3.0
33.0,01074100,Academy of Salon and Spa,Fort Smith,AR,72901-3833,45107.0,Proprietary,2.6
34.0,03997300,Arkansas Beauty College,Russellville,AR,72801-3741,44926.0,Proprietary,2.9
35.0,03005100,Arkansas Beauty School- Little Rock,Little Rock,AR,72209-5116,44926.0,Proprietary,2.5
36.0,03023400,Arkansas Technical School,North Little Rock,AR,72114-5615,44926.0,Proprietary,2.4
37.0,04274100,Arkansas Welding Academy,Jacksonville,AR,72076-2302,44926.0,Proprietary,2.8
38.0,02538500,Arthur's Beauty College,Conway,AR,72032-2320,44926.0,Proprietary,2.5
39.0,02363500,Arthur's Beauty College,Jonesboro,AR,72401-6198,44926.0,Proprietary,2.5
40.0,03105200,Baptist Health College Little Rock,Little Rock,AR,72210-2820,44926.0,Non Profit,2.1
41.0,02341700,Career Academy of Hair Design,Springdale,AR,72764-7128,44834.0,Proprietary,3.0
42.0,00109300,Central Baptist College,Conway,AR,72034-6470,45107.0,Non Profit,0.9
43.0,04276100,Champion Christian College,Hot Springs,AR,71913-3531,45107.0,Non Profit,1.5
44.0,04220000,Designer Barber & Stylist School,Fort Smith,AR,72903-3753,44926.0,Proprietary,3.0
45.0,03855300,Ecclesia College,Springdale,AR,72762-8159,45077.0,Non Profit,1.6
46.0,04280600,GoodFellas Barber College,Little Rock,AR,72204-6332,45107.0,Proprietary,2.8
47.0,00109700,Harding University,Searcy,AR,72149-0001,45107.0,Non Profit,2.7
48.0,00109900,Hendrix College,Conway,AR,72032-3080,45077.0,Non Profit,3.0
49.0,03007100,Hot Springs Beauty College,Hot Springs,AR,71901-5432,45107.0,Proprietary,3.0
50.0,04296800,Jackson Theological Seminary,North Little Rock,AR,72114-0000,45107.0,Non Profit,3.0
51.0,02330800,Jefferson Regional School of Nursing,Pine Bluff,AR,71603-6301,45107.0,Non Profit,2.5
52.0,00110000,John Brown University,Siloam Springs,AR,72761-2747,45107.0,Non Profit,3.0
53.0,00108800,Lyon College,Batesville,AR,72501-3699,45107.0,Non Profit,0.6
54.0,04247600,New Beginnings Beauty Academy,Pine Bluff,AR,71601-5257,44926.0,Proprietary,3.0
55.0,02284200,New Tyler Barber College,North Little Rock,AR,72114-4973,44926.0,Proprietary,1.8
56.0,04272400,Northern Technical College,Pine Bluff,AR,71601-6835,44834.0,Proprietary,1.0
57.0,00110200,Ouachita Baptist University,Arkadelphia,AR,71998-0001,45077.0,Non Profit,2.6
58.0,03124900,Paul Mitchell the School - Little Rock,North Little Rock,AR,72117-2516,44926.0,Proprietary,1.5
59.0,00792100,Paul Mitchell The School Arkansas,Fayetteville,AR,72703-5318,44926.0,Proprietary,3.0
60.0,00110300,Philander Smith College,Little Rock,AR,72202-3718,45107.0,Non Profit,2.2
61.0,04183400,Salon Professional Academy (The),Sherwood,AR,72120-2404,44926.0,Proprietary,3.0
62.0,02569600,Searcy Beauty College,Searcy,AR,72143-0000,44926.0,Proprietary,2.4
63.0,00110500,Shorter College,North Little Rock,AR,72114-4885,45107.0,Non Profit,2.2
64.0,02202400,University of Aesthetics & Cosmetology,El Dorado,AR,71730-3349,44926.0,Proprietary,1.8
65.0,00109400,University of the Ozarks,Clarksville,AR,72830-2880,45107.0,Non Profit,2.4
66.0,03214300,Velvatex College of Beauty Culture,Little Rock,AR,72202-5452,44926.0,Proprietary,2.8
67.0,04183100,Washington Barber College,Little Rock,AR,72209-3820,45107.0,Proprietary,2.3
68.0,00110600,Williams Baptist University,Walnut Ridge,AR,72476-4661,45107.0,Non Profit,2.4
69.0,02113600,American InterContinental University,Chandler,AZ,85286-1585,44926.0,Proprietary,3.0
70.0,00711300,Arizona Christian University,Glendale,AZ,85306-7097,45107.0,Non Profit,0.2
71.0,03115000,Arizona College,Tempe,AZ,85282-1840,45016.0,Proprietary,1.7
72.0,04120900,Arizona Culinary Institute,Scottsdale,AZ,85259-4939,44926.0,Proprietary,1.6
73.0,03695500,Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,85716-1518,44926.0,Proprietary,0.6
74.0,01085800,Avalon Institute,Mesa,AZ,85210-4010,44926.0,Proprietary,3.0
75.0,04194500,Aveda Institute Tucson,Tucson,AZ,85701-4876,44926.0,Proprietary,2.4
76.0,00716400,Bryan University,Tempe,AZ,85281-1495,44926.0,Proprietary,2.6
77.0,02100600,Carrington College,Phoenix,AZ,85021-0000,44926.0,Proprietary,2.2
78.0,02280500,Charles of Italy Beauty College,Lake Havasu City,AZ,86403-5770,44926.0,Proprietary,3.0
79.0,04291100,Commercial Divers International,Goodyear,AZ,85338-3693,44926.0,Proprietary,2.4
80.0,03034400,Conservatory of Recording Arts & Sciences,Tempe,AZ,85282-1707,45107.0,Proprietary,2.9
81.0,04157400,Crestpoint University,Phoenix,AZ,85014-1561,44926.0,Proprietary,2.6
82.0,00107400,Grand Canyon University,Phoenix,AZ,85017-3030,45107.0,Proprietary,1.8
83.0,03445300,HDS Truck Driving Institute,Tucson,AZ,85756-9278,44926.0,Proprietary,0.1
84.0,04291400,Indian Bible College,Flagstaff,AZ,86004-1919,45107.0,Non Profit,2.7
85.0,03347300,International Baptist College and Seminary,Chandler,AZ,85286-6799,45107.0,Non Profit,3.0
86.0,04267500,International Barber College,Chandler,AZ,85226-3205,44926.0,Proprietary,2.8
87.0,04299200,Kino College,Tucson,AZ,85704-7802,44926.0,Proprietary,1.7
88.0,04174100,Paul Mitchell the School Phoenix,Phoenix,AZ,85017-1919,44834.0,Proprietary,1.8
89.0,04175300,Penrose Academy,Scottsdale,AZ,85254-4065,44926.0,Proprietary,2.2
90.0,03478400,Phoenix Seminary,Scottsdale,AZ,85260-5510,45107.0,Non Profit,2.2
91.0,02217100,Pima Medical Institute,Tucson,AZ,85712-2801,44926.0,Proprietary,2.3
92.0,02065300,Prescott College,Prescott,AZ,86301-2990,45107.0,Non Profit,3.0
93.0,04177500,Pure Aesthetics Natural Skincare School,Tucson,AZ,85716-3823,44926.0,Proprietary,1.2
94.0,01168900,Refrigeration School (The),Phoenix,AZ,85034-1894,44834.0,Proprietary,0.2
95.0,04237700,Regional Center for Border Health,Somerton,AZ,85350-2010,45107.0,Non Profit,2.7
96.0,02113800,Roberto-Venn School of Luthiery,Phoenix,AZ,85007-2514,45107.0,Proprietary,2.6
97.0,04244900,Sonoran Desert Institute,Tempe,AZ,85281-3376,44926.0,Proprietary,1.5
98.0,03107000,Sonoran University of Health Sciences,Tempe,AZ,85282-1751,44834.0,Non Profit,2.0
99.0,03593300,Southwest Institute of Healing Arts,Tempe,AZ,85282-5687,44926.0,Proprietary,2.7
100.0,04152900,Studio Academy of Beauty (The),Chandler,AZ,85224-3600,44926.0,Proprietary,2.6
101.0,04059300,Tucson College of Beauty,Tucson,AZ,85705-2451,44926.0,Proprietary,2.9
102.0,03814300,Turning Point Beauty College,Chandler,AZ,85225-3447,44926.0,Proprietary,1.1
103.0,02559000,University of Advancing Computer Technology,Tempe,AZ,85283-1056,44926.0,Proprietary,2.0
104.0,02098800,University of Phoenix,Phoenix,AZ,85040-0723,44804.0,Proprietary,2.7
105.0,04286300,Xtylo Beauty College,Phoenix,AZ,85008-1303,44926.0,Proprietary,1.5
106.0,04242600,ABCO Technology,Los Angeles,CA,90043-2808,44926.0,Proprietary,3.0
107.0,04243800,Abraham Lincoln University,Glendale,CA,91210-1211,44926.0,Proprietary,1.8
108.0,04155500,Academy for Jewish Religion California,Los Angeles,CA,90045-2659,44773.0,Non Profit,2.5
109.0,04189800,Academy for Salon Professionals,Northridge,CA,91324-2305,44804.0,Proprietary,2.1
110.0,00753100,Academy of Art University,San Francisco,CA,94105-3410,44926.0,Proprietary,1.7
111.0,03288300,Academy of Chinese Culture and Health Sciences,Oakland,CA,94612-2168,44926.0,Non Profit,2.2
112.0,04132400,Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3373,44926.0,Proprietary,-0.4
113.0,03327400,"Acupuncture and Integrative Medicine College, Berkeley",Berkeley,CA,94704-2724,44926.0,Non Profit,2.5
114.0,02520400,Adrians Beauty College of Turlock,Turlock,CA,95380-5116,45046.0,Proprietary,3.0
115.0,04206800,Advance Beauty Techs Academy,Corona,CA,92879-6572,44926.0,Proprietary,2.9
116.0,04208900,Advanced Career Institute,Visalia,CA,93291-9254,44926.0,Proprietary,1.0
117.0,04292900,Agape College of Business and Science,Fresno,CA,93721-1827,45107.0,Non Profit,2.0
118.0,04287000,Alder Graduate School of Education,Redwood City,CA,94062-1510,45107.0,Non Profit,3.0
119.0,04243100,Alhambra Medical University,Alhambra,CA,91803-1310,44926.0,Proprietary,1.7
120.0,04227100,America Evangelical University,Gardena,CA,90247-4432,45107.0,Non Profit,2.6
121.0,01307400,American Beauty College,West Covina,CA,91790-2906,44926.0,Proprietary,2.0
122.0,03971300,American Career College,Ontario,CA,91764-4906,44926.0,Proprietary,2.8
123.0,02241800,American Career College,Los Angeles,CA,90004-6818,44926.0,Proprietary,2.7
124.0,03144400,American College of Healthcare and Technology,Riverside,CA,92505-3038,44926.0,Proprietary,2.6
125.0,02222000,American Film Institute Conservatory,Los Angeles,CA,90027-1625,45107.0,Non Profit,3.0
126.0,03962300,American Institute of Massage Therapy,Santa Ana,CA,92705-5411,45107.0,Proprietary,2.7
127.0,00274100,American Jewish University,Los Angeles,CA,90077-1599,45107.0,Non Profit,2.2
128.0,04159700,American Medical Sciences Center,Glendale,CA,91204-5108,44926.0,Proprietary,2.8
129.0,03225300,American University of Health Sciences,Signal Hill,CA,90755-3612,44926.0,Proprietary,1.6
130.0,04160400,Angeles College,Los Angeles,CA,90010-2100,44926.0,Proprietary,2.6
131.0,04164400,Angeles Institute,Artesia,CA,90701-6610,44926.0,Proprietary,0.5
132.0,04191300,Annenberg School of Nursing,Reseda,CA,91335-3711,44804.0,Non Profit,2.9
133.0,00111600,Art Center College of Design,Pasadena,CA,91103-1999,45107.0,Non Profit,3.0
134.0,04057300,Asher College,Sacramento,CA,95825-4025,44926.0,Proprietary,2.4
135.0,02595600,Asian-American International Beauty College,Westminster,CA,92683-4043,44926.0,Proprietary,2.9
136.0,04242500,Associated Barber College of San Diego,San Diego,CA,92101-4210,44926.0,Proprietary,3.0
137.0,02553500,Associated Technical College,San Diego,CA,92108-1602,44926.0,Proprietary,2.5
138.0,00902200,Associated Technical College,Los Angeles,CA,90017-1604,44926.0,Proprietary,2.5
139.0,03532400,ATA College,El Cajon,CA,92020-0918,44926.0,Proprietary,-1.0
140.0,03740400,ATI College,Whittier,CA,90603-2139,44926.0,Proprietary,1.8
141.0,04240200,Aviation Institute of Maintenance,Fremont,CA,94539-7663,44926.0,Proprietary,2.7
142.0,00111700,Azusa Pacific University,Azusa,CA,91702-7000,45107.0,Non Profit,3.0
143.0,04223700,Bay Area Medical Academy,San Francisco,CA,94108-3623,44926.0,Proprietary,-1.0
144.0,00705000,Bellus Academy,Chula Vista,CA,91911-0000,44926.0,Proprietary,2.1
145.0,02343400,Bellus Academy,Poway,CA,92064-4633,44926.0,Proprietary,2.8
146.0,01202600,Bellus Academy,El Cajon,CA,92021-6247,44926.0,Proprietary,2.1
147.0,04176300,Bergin University of Canine Studies,Penngrove,CA,94951-9671,45107.0,Non Profit,2.7
148.0,00112000,Berkeley School of Theology,Berkeley,CA,94704-3029,45107.0,Non Profit,2.3
149.0,03266300,Bethesda University,Anaheim,CA,92801-4132,45107.0,Non Profit,1.2
150.0,04185500,Beverly Hills Design Institute,Beverly Hills,CA,90211-3219,44926.0,Proprietary,3.0
151.0,04148200,Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670-6316,44926.0,Proprietary,3.0
152.0,00112200,Biola University,La Mirada,CA,90639-0001,45107.0,Non Profit,2.2
153.0,04137200,Borner's Barber College,Los Angeles,CA,90047-3549,44926.0,Proprietary,2.5
154.0,04194600,Brand College,Glendale,CA,91203-3646,44926.0,Proprietary,3.0
155.0,02128200,Bridges Beauty College,Victorville,CA,92395-3821,45107.0,Proprietary,2.3
156.0,02543400,Brownson Technical School,Anaheim,CA,92805-6329,44926.0,Proprietary,1.5
157.0,04293500,Cal Northern School of Law,Chico,CA,95973-8682,44926.0,Proprietary,1.8
158.0,04294500,CalCopa Massage School,Huntington Beach,CA,92648-2071,44926.0,Proprietary,-1.0
159.0,00998900,California Aeronautical University,Bakersfield,CA,93308-1649,45107.0,Proprietary,1.2
160.0,00112500,California Baptist University,Riverside,CA,92504-3297,45107.0,Non Profit,2.5
161.0,02065700,California Beauty College,Modesto,CA,95354-1190,44926.0,Proprietary,3.0
162.0,03974500,California Career College,Canoga Park,CA,91303-2006,44926.0,Proprietary,2.9
163.0,04215100,California Career Institute,Anaheim,CA,92806-5100,44926.0,Proprietary,1.9
164.0,04277700,California College of Barbering and Cosmetology,Stockton,CA,95210-3514,44926.0,Proprietary,1.7
165.0,04293000,California College of Music,Pasadena,CA,91106-2403,44926.0,Proprietary,1.8
166.0,00112700,California College of the Arts,San Francisco,CA,94107-2206,45107.0,Non Profit,2.3
167.0,01186500,California Hair Design Academy,La Mesa,CA,91942-5055,44926.0,Proprietary,2.8
168.0,03681300,California Healing Arts College,Carson,CA,90746-3207,44926.0,Proprietary,2.6
169.0,04281400,California Health Sciences University,Clovis,CA,93612-0303,45107.0,Proprietary,1.0
170.0,04250600,California Institute of Advanced Management,Alhambra,CA,91803-9180,44926.0,Non Profit,1.8
171.0,04259800,California Institute of Arts & Technology,National City,CA,91950-6610,44926.0,Proprietary,2.7
172.0,01215400,California Institute of Integral Studies,San Francisco,CA,94103-2557,45107.0,Non Profit,2.8
173.0,04246200,California Institute of Medical Science,Clovis,CA,93612-0000,45107.0,Proprietary,1.6
174.0,00113100,California Institute of Technology,Pasadena,CA,91125-0001,44834.0,Non Profit,2.3
175.0,00113200,California Institute of the Arts,Valencia,CA,91355-2397,45107.0,Non Profit,2.9
176.0,04237600,California Jazz Conservatory,Berkeley,CA,94704-1268,44926.0,Non Profit,2.2
177.0,00113300,California Lutheran University,Thousand Oaks,CA,91360-2787,45077.0,Non Profit,2.2
178.0,04189700,California Miramar University,San Diego,CA,92108-1737,44926.0,Proprietary,2.1
179.0,03935300,California Nurses Educational Institute,Rancho Mirage,CA,92270-2703,44926.0,Proprietary,2.3
180.0,04290800,California University of Science and Medicine,Colton,CA,92324-1603,45107.0,Non Profit,0.6
181.0,01310300,California Western School of Law,San Diego,CA,92101-3046,44773.0,Non Profit,2.2
182.0,03019900,Capstone College,Pasadena,CA,91103-4201,44926.0,Proprietary,2.1
183.0,02125000,Career Academy of Beauty,Garden Grove,CA,92845-2032,44926.0,Proprietary,3.0
184.0,03797400,Career Care Institute,Lancaster,CA,93534-4765,44834.0,Proprietary,2.1
185.0,04144200,Career Development Institute,Los Angeles,CA,90035-4364,44926.0,Proprietary,3.0
186.0,03242300,Career Networks Institute,Santa Ana,CA,92705-4931,44926.0,Proprietary,2.9
187.0,00974800,Carrington College,Sacramento,CA,95826-3203,44926.0,Proprietary,2.2
188.0,00673100,Casa Loma College,Sherman Oaks,CA,91403-6654,45107.0,Non Profit,2.0
189.0,03250300,CBD College,Los Angeles,CA,90010-2777,45016.0,Non Profit,2.8
190.0,02332800,Center for Employment Training,San Jose,CA,95110-2940,45107.0,Non Profit,0.6
191.0,03097700,Central California School of Continuing Education,San Luis Obispo,CA,93401-6739,44926.0,Proprietary,3.0
192.0,02602300,Central Coast College,Salinas,CA,93901-3301,45107.0,Proprietary,3.0
193.0,04305500,Central Valley Barber College,Riverbank,CA,95367-2024,44926.0,Proprietary,3.0
194.0,00116400,Chapman University,Orange,CA,92866-1099,45077.0,Non Profit,3.0
195.0,01036500,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059-3025,45107.0,Non Profit,2.6
196.0,02155300,Chicago School of Professional Psychology,Los Angeles,CA,90017-3830,45077.0,Non Profit,3.0
197.0,00116500,Church Divinity School of the Pacific,Berkeley,CA,94709-1217,44926.0,Non Profit,3.0
198.0,04180000,Cinta Aveda Institute,San Francisco,CA,94108-3204,44926.0,Proprietary,0.4
199.0,02178700,Citrus Heights Beauty College,Citrus Heights,CA,95610-1410,44834.0,Proprietary,3.0
200.0,00116900,Claremont Graduate University,Claremont,CA,91711-6163,45107.0,Non Profit,2.4
201.0,04253600,Claremont Lincoln University,Claremont,CA,91711-4744,44926.0,Non Profit,2.2
202.0,00117000,Claremont McKenna College,Claremont,CA,91711-6400,45107.0,Non Profit,2.5
203.0,00128800,Claremont School of Theology,Los Angeles,CA,90024-0000,45107.0,Non Profit,0.6
204.0,04115300,Coachella Valley Beauty College,La Quinta,CA,92253-4501,44926.0,Proprietary,2.1
205.0,04092300,Coastline Beauty College,Fountain Valley,CA,92708-1305,44926.0,Proprietary,1.6
206.0,03577300,Coba Academy,Anaheim,CA,92801-4622,44926.0,Proprietary,2.8
207.0,02110200,Columbia College Hollywood,Los Angeles,CA,90015-2205,45016.0,Non Profit,-0.2
208.0,03874400,Community Christian College,Redlands,CA,92374-2893,45107.0,Non Profit,3.0
209.0,03695300,Community Enhancement Services,Burbank,CA,91502-2750,44926.0,Non Profit,2.4
210.0,02070500,Concordia University Irvine,Irvine,CA,92612-3203,45107.0,Non Profit,2.2
211.0,04274900,Contra Costa Medical Career College,Antioch,CA,94531-6208,44926.0,Proprietary,2.3
212.0,02494800,CR'U Institute of Cosmetology and Barbering,Garden Grove,CA,92845-4321,44926.0,Proprietary,2.1
213.0,04248200,DeHart Technical School,Modesto,CA,95356-9292,44926.0,Proprietary,0.1
214.0,02298000,Design Institute of San Diego,San Diego,CA,92121-2685,45107.0,Proprietary,2.8
215.0,03646300,Design's School of Cosmetology,Paso Robles,CA,93446-9530,44926.0,Proprietary,2.9
216.0,04195200,Diamond Beauty College,South El Monte,CA,91733-2180,44926.0,Proprietary,2.3
217.0,02553600,Diversified Vocational College,Los Angeles,CA,90017-1604,44926.0,Proprietary,2.5
218.0,00129600,Dominican School of Philosophy and Theology,Berkeley,CA,94708-1295,45107.0,Non Profit,2.9
219.0,00119600,Dominican University of California,San Rafael,CA,94901-2298,45107.0,Non Profit,1.0
220.0,03109500,Dongguk University Los Angeles,Los Angeles,CA,90020-1765,44926.0,Non Profit,3.0
221.0,04175400,Elite Cosmetology School,Palm Desert,CA,92260-3324,45016.0,Proprietary,0.2
222.0,02609000,Emperor's College of Traditional Oriental Medicine,Culver City,CA,90230-0000,45107.0,Proprietary,1.8
223.0,00903200,Empire College,Santa Rosa,CA,95403-2122,44926.0,Proprietary,0.9
224.0,02167800,Estes Institute of Cosmetology Arts & Sciences,Visalia,CA,93291-6354,44926.0,Proprietary,1.8
225.0,04222200,Fab School (The),Rancho Cucamonga,CA,91730-9114,44926.0,Proprietary,2.7
226.0,01111200,Fashion Institute of Design & Merchandising,Los Angeles,CA,90015-1421,45016.0,Proprietary,-0.6
227.0,00725300,Federico Beauty Institute,Sacramento,CA,95834-1905,44926.0,Proprietary,3.0
228.0,02096100,Fielding Graduate University,Santa Barbara,CA,93105-3814,45107.0,Non Profit,3.0
229.0,03131300,Five Branches University,Santa Cruz,CA,95062-4669,44926.0,Proprietary,2.2
230.0,01179200,Franciscan School of Theology,San Diego,CA,92110-2492,45107.0,Non Profit,2.2
231.0,02230900,Fredrick and Charles Beauty College,Eureka,CA,95501-1812,44926.0,Proprietary,3.0
232.0,03039900,Fremont University,Cerritos,CA,90703-5342,44926.0,Proprietary,1.8
233.0,00125300,Fresno Pacific University,Fresno,CA,93702-4798,45107.0,Non Profit,2.1
234.0,00120000,Fuller Theological Seminary,Pasadena,CA,91182-0002,45107.0,Non Profit,2.5
235.0,04159600,Galaxy Medical College,North Hollywood,CA,91606-1593,44926.0,Proprietary,-1.0
236.0,02231900,Gemological Institute of America,Carlsbad,CA,92008-4602,44926.0,Non Profit,2.2
237.0,02338500,Glendale Career College,Glendale,CA,91203-1207,44926.0,Proprietary,3.0
238.0,04076400,Gnomon,North Hollywood,CA,91606-0000,44926.0,Proprietary,2.5
239.0,00120500,Golden Gate University,San Francisco,CA,94105-2967,45107.0,Non Profit,2.2
240.0,04169800,Gurnick Academy of Medical Arts,San Jose,CA,95112-0000,44926.0,Proprietary,2.3
241.0,00117100,Harvey Mudd College,Claremont,CA,91711-5990,45107.0,Non Profit,3.0
242.0,04274800,Haven University,Garden Grove,CA,92840-5212,44926.0,Non Profit,2.7
243.0,04141700,Healing Hands School of Holistic Health,Escondido,CA,92025-1722,44926.0,Proprietary,1.8
244.0,04132700,Healthcare Career College,Paramount,CA,90723-5579,44926.0,Proprietary,1.6
245.0,04228100,High Desert Medical College,Lancaster,CA,93534-1134,45107.0,Proprietary,3.0
246.0,04217400,High Tech High Graduate School of Education,San Diego,CA,92106-6025,45107.0,Non Profit,2.0
247.0,02285100,Hilltop Beauty School,Daly City,CA,94014-2012,44834.0,Proprietary,3.0
248.0,04209800,Hinton Barber and Beauty College,Vallejo,CA,94590-4547,44926.0,Proprietary,2.4
249.0,04285300,Hollywood Cultural College,Los Angeles,CA,90010-2214,44926.0,Proprietary,2.1
250.0,04149700,Homestead Schools,Torrance,CA,90505-5945,44926.0,Non Profit,2.2
251.0,00125200,Hope International University,Fullerton,CA,92831-3104,45077.0,Non Profit,0.5
252.0,04255300,Hoss Lee Academy,Roseville,CA,95661-5233,44926.0,Proprietary,2.6
253.0,00121200,Humphreys University,Stockton,CA,95207-3896,45107.0,Non Profit,3.0
254.0,02545900,Hypnosis Motivation Institute,Tarzana,CA,91356-4154,45107.0,Non Profit,2.8
255.0,04265500,ICOHS College,San Diego,CA,92101-2927,44926.0,Non Profit,0.3
256.0,02128300,Institute for Business & Technology,Santa Clara,CA,95051-1303,44926.0,Proprietary,0.9
257.0,03067500,Institute of Technology,Clovis,CA,93612-3217,44926.0,Proprietary,1.8
258.0,04181600,Integrity College of Health,Pasadena,CA,91104-2300,45107.0,Proprietary,3.0
259.0,02559400,InterCoast Colleges,West Covina,CA,91791-1540,45107.0,Proprietary,3.0
260.0,02520300,Interior Designers Institute,Newport Beach,CA,92660-3228,44957.0,Proprietary,2.0
261.0,04186900,International College of Beauty Arts & Sciences,Los Angeles,CA,90039-1012,44926.0,Proprietary,2.7
262.0,04145600,International College of Cosmetology,Oakland,CA,94601-3525,44926.0,Proprietary,2.6
263.0,03964400,International School of Beauty,Palm Desert,CA,92260-2740,44926.0,Proprietary,2.4
264.0,04217500,J D Academy of Salon and Spa,Danville,CA,94526-4012,44926.0,Proprietary,2.1
265.0,04193700,John Paul the Great Catholic University,Escondido,CA,92025-2601,45107.0,Non Profit,1.7
266.0,03125300,John Wesley International Barber and Beauty College,Long Beach,CA,90813-4592,44926.0,Proprietary,1.8
267.0,04280400,KC Beauty Academy,Los Angeles,CA,90012-4303,44926.0,Proprietary,3.0
268.0,03853300,Keck Graduate Institute of Applied Life Sciences,Claremont,CA,91711-4817,45107.0,Non Profit,3.0
269.0,00121500,La Sierra University,Riverside,CA,92505-3332,45107.0,Non Profit,3.0
270.0,02330500,Laguna College of Art and Design,Laguna Beach,CA,92651-1136,45107.0,Non Profit,3.0
271.0,04284300,Latin American Bible Institute,La Puente,CA,91746-3099,45107.0,Non Profit,0.0
272.0,04141400,Laurus College,San Luis Obispo,CA,93401-5405,44926.0,Proprietary,1.6
273.0,04226100,Lawrence & Company College of Cosmetology,Selma,CA,93662-3509,44926.0,Proprietary,2.3
274.0,04212000,Lawrence & Company College of Cosmetology,Hanford,CA,93230-4102,44926.0,Proprietary,3.0
275.0,02228500,Life Chiropractic College West,Hayward,CA,94545-2800,45107.0,Non Profit,3.0
276.0,04243400,Lionel University,Carpinteria,CA,93013-2912,44926.0,Proprietary,1.8
277.0,00121800,Loma Linda University,Loma Linda,CA,92350-0001,45107.0,Non Profit,2.1
278.0,04248300,Los Angeles Academy of Figurative Art,Van Nuys,CA,91406-2127,44926.0,Proprietary,2.8
279.0,04001300,Los Angeles College of Aesthetics,Los Angeles,CA,90006-4233,44926.0,Proprietary,1.5
280.0,03868400,Los Angeles College of Music,Pasadena,CA,91105-2540,44834.0,Proprietary,1.0
281.0,04037300,Los Angeles Film School (The),Hollywood,CA,90028-7300,44926.0,Proprietary,2.1
282.0,03124500,Los Angeles Pacific College,Los Angeles,CA,90010-1758,44926.0,Proprietary,1.1
