organization_name,organization_state,organization_city,unitid,institution_name_override,state_override,control_label_override,category_override,notes
Arizona State University,Arizona,,104151,Arizona State University,Arizona,Public,"Degree-granting, primarily baccalaureate or above",Map mixed-case Arizona State grant recipient to Campus Immersion finance record
ARIZONA STATE UNIVERSITY-TEMPE CAMPUS,Arizona,,104151,Arizona State University,Arizona,Public,"Degree-granting, primarily baccalaureate or above",Map Arizona State Tempe campus naming to Campus Immersion finance record
University of Colorado at Boulder,Colorado,,126614,University of Colorado Boulder,Colorado,Public,"Degree-granting, primarily baccalaureate or above",Map Boulder campus wording to flagship Boulder record
University of Colorado Boulder,Colorado,,126614,University of Colorado Boulder,Colorado,Public,"Degree-granting, primarily baccalaureate or above",Exact Boulder campus match
UNIVERSITY OF COLORADO,Colorado,,126614,University of Colorado Boulder,Colorado,Public,"Degree-granting, primarily baccalaureate or above",Map plain University of Colorado wording to Boulder flagship when state is Colorado
THE REGENTS OF THE UNIVERSITY OF COLORADO,Colorado,,126614,University of Colorado Boulder,Colorado,Public,"Degree-granting, primarily baccalaureate or above",Map Regents wording in Colorado to Boulder flagship
"Board of Regents, NSHE, obo University of Nevada, Reno",Nevada,,182290,University of Nevada-Reno,Nevada,Public,"Degree-granting, primarily baccalaureate or above",Map Nevada system legal wording to University of Nevada-Reno
UNIVERSITY OF NEVADA RENO,Nevada,,182290,University of Nevada-Reno,Nevada,Public,"Degree-granting, primarily baccalaureate or above",Map plain Grant Witness Nevada Reno wording to University of Nevada-Reno
William Marsh Rice University,Texas,,227757,Rice University,Texas,Private not-for-profit,"Degree-granting, primarily baccalaureate or above",Map legal name to Rice University
Boston University (Charles River Campus),Massachusetts,,164988,Boston University,,,,Display-name match to Boston University
College of William and Mary,Virginia,,231624,William & Mary,,,,Display-name match to William & Mary
Charles R. Drew University of Med & Science,California,,111966,Charles R Drew University of Medicine and Science,,,,Display-name match to Charles R Drew
Colorado State University,Colorado,,126818,Colorado State University-Fort Collins,,,,Display-name match to Fort Collins flagship
CUNY College of Staten Island,New York,,190558,College of Staten Island CUNY,,,,Display-name match to College of Staten Island CUNY
"Embry-Riddle Aeronautical University, Inc.",Florida,,133553,Embry-Riddle Aeronautical University-Daytona Beach,,,,Display-name match to Daytona Beach campus
Indiana University,Indiana,,151351,Indiana University-Bloomington,,,,Display-name match to Bloomington
Iowa State University of Science and Technology,Iowa,,153603,Iowa State University,,,,Display-name match to Iowa State University
Jarvis Christian College,Texas,,225885,Jarvis Christian University,,,,Display-name match to Jarvis Christian University
Kent State University,Ohio,,203517,Kent State University at Kent,,,,Display-name match to Kent campus
Kutztown University,Pennsylvania,,213349,Kutztown University of Pennsylvania,,,,Display-name match to Kutztown
Louisiana State University,Louisiana,,159391,Louisiana State University and Agricultural & Mechanical College,,,,Display-name match to LSU flagship
Lsu Health Sciences Center,Louisiana,,,LSU Health Science Center,,,,Display-only rename; no finance match
"Loyola University Maryland, Inc",Maryland,,163046,Loyola University Maryland,,,,Display-name match to Loyola University Maryland
Manhattanville College,New York,,192749,Manhattanville University,,,,Display-name match to Manhattanville University
Miami University,Ohio,,204024,Miami University-Oxford,,,,Display-name match to Miami University-Oxford
Millersville University,Pennsylvania,,214041,Millersville University of Pennsylvania,,,,Display-name match to Millersville
Missouri State University,Missouri,,179566,Missouri State University-Springfield,,,,Display-name match to Springfield campus
Montana State University - Bozeman,Montana,,180461,Montana State University,,,,Display-name match to Montana State University
New School University,New York,,193654,The New School,,,,Display-name match to The New School
North Carolina Agricultural & Technical State University,North Carolina,,199102,North Carolina A & T State University,,,,Display-name match to NC A&T
North Carolina Agricultural and Technical State University,North Carolina,,199102,North Carolina A & T State University,,,,Display-name match to NC A&T
North Carolina State University Raleigh,North Carolina,,199193,North Carolina State University at Raleigh,,,,Display-name match to NC State
North Carolina State University,North Carolina,,199193,North Carolina State University at Raleigh,,,,Display-name match to NC State
Northwestern University,Illinois,,147767,Northwestern University,,,,Exact display-name match to Northwestern
Oklahoma State University Stillwater,Oklahoma,,207388,Oklahoma State University-Main Campus,,,,Display-name match to Oklahoma State
Pennsylvania State University University Park,Pennsylvania,,214777,Pennsylvania State University-Main Campus,,,,Display-name match to Penn State main campus
Prairie View Agri & Mech University,Texas,,227526,Prairie View A & M University,,,,Display-name match to Prairie View A&M
"Rutgers, the State University of New Jersey",New Jersey,,186399,Rutgers University-Newark,,,,Display-name match to Rutgers-Newark
Southern Illinois University,Illinois,,149222,Southern Illinois University-Carbondale,,,,Display-name match to SIU Carbondale
Southern Illinois University at Edwardsville,Illinois,,149231,Southern Illinois University Edwardsville,,,,Display-name match to SIUE
St. Mary's University San Antonio,Texas,,228149,St. Mary's University,,,,Display-name match to St. Mary's University
SUNY College at Oneonta,New York,,196185,SUNY Oneonta,,,,Display-name match to SUNY Oneonta
SUNY Empire State College,New York,,196264,Empire State University,,,,Display-name match to Empire State University
Temple University-of the Commonwealth System of Higher Education,Pennsylvania,,216339,Temple University,,,,Display-name match to Temple University
Texas A&M University,Texas,,228723,Texas A&M University-College Station,,,,Display-name match to Texas A&M College Station
Texas State University - San Marcos,Texas,,228459,Texas State University,,,,Display-name match to Texas State University
Tulane University,Louisiana,,160755,Tulane University of Louisiana,,,,Display-name match to Tulane University of Louisiana
"Loyola University Maryland, Inc.",Maryland,,163046,Loyola University Maryland,,,,Display-name match to Loyola University Maryland
St Mary's University San Antonio,Texas,,228149,St. Mary's University,,,,Display-name match to St. Mary's University
University of North Carolina Greensboro,North Carolina,Greensboro,199148,University of North Carolina at Greensboro,,,,Map Grant Witness name missing "at" to UNC Greensboro
UNIVERSITY OF NORTH CAROLINA GREENSBORO,North Carolina,Greensboro,199148,University of North Carolina at Greensboro,,,,Map uppercase Grant Witness name missing "at" to UNC Greensboro
UNIVERSITY OF WISCONSIN SYSTEM,Wisconsin,Madison,240444,University of Wisconsin-Madison,,,,Map UW System Madison awards to UW-Madison
UNIVERSITY OF WISCONSIN SYSTEM,Wisconsin,Milwaukee,240453,University of Wisconsin-Milwaukee,,,,Map UW System Milwaukee awards to UW-Milwaukee
University of Hawaii,Hawaii,Honolulu,141574,University of Hawaii at Manoa,,,,Map Grant Witness plain University of Hawaii in Honolulu to UH Manoa
UNIVERSITY OF HAWAII,Hawaii,Honolulu,141574,University of Hawaii at Manoa,,,,Map uppercase Grant Witness plain University of Hawaii in Honolulu to UH Manoa
THE UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES,Florida,Orlando,132903,University of Central Florida,,,,Map UCF board legal recipient in Orlando to UCF
The University of Central Florida Board of Trustees,Florida,Orlando,132903,University of Central Florida,,,,Map mixed-case UCF board legal recipient in Orlando to UCF
University of Alaska Anchorage Campus,Alaska,Anchorage,102553,University of Alaska Anchorage,,,,Map campus-suffixed Grant Witness name to University of Alaska Anchorage
University of Alaska Fairbanks Campus,Alaska,Fairbanks,102614,University of Alaska Fairbanks,,,,Map campus-suffixed Grant Witness name to University of Alaska Fairbanks
TEXAS TECH UNIVERSITY SYSTEM,Texas,Lubbock,229115,Texas Tech University,,,,Map non-HSC Texas Tech System award in Lubbock to Texas Tech University
UNIVERSITY OF ILLINOIS,Illinois,Urbana,145637,University of Illinois Urbana-Champaign,,,,Map plain University of Illinois in Urbana to Urbana-Champaign campus
LOYOLA UNIVERSITY OF CHICAGO,Illinois,Chicago,146719,Loyola University Chicago,,,,Map Grant Witness wording with "of" to Loyola University Chicago
Loyola University of Chicago,Illinois,Chicago,146719,Loyola University Chicago,,,,Map mixed-case Grant Witness wording with "of" to Loyola University Chicago
University of Colorado at Denver-Downtown Campus,Colorado,Denver,126562,University of Colorado Denver/Anschutz Medical Campus,,,,Map Denver-Downtown campus wording to tracker Denver/Anschutz record
Utah State Higher Education System--University of Utah,Utah,Salt Lake City,230764,University of Utah,,,,Map Utah system award naming to University of Utah using Salt Lake City
University of Maine System,Maine,Orono,161253,University of Maine,,,,Map University of Maine System award in Orono to University of Maine
University of Massachusetts,Massachusetts,Amherst,166629,University of Massachusetts-Amherst,,,,Map plain UMass award in Amherst to UMass Amherst
University of Mass at Boston,Massachusetts,Dorchester,166638,University of Massachusetts-Boston,,,,Map UMass Boston wording with Dorchester city to UMass Boston
University of Missouri-Saint Louis,Missouri,Saint Louis,178420,University of Missouri-St Louis,,,,Map Saint Louis spelling variant to University of Missouri-St Louis
North Dakota State University Fargo,North Dakota,Fargo,200332,North Dakota State University-Main Campus,,,,Map Fargo suffix to NDSU main campus
UNIVERSITY OF THE PACIFIC-STOCKTON,California,Stockton,120883,University of the Pacific,,,,Map Stockton suffix to University of the Pacific
University of Alabama,Alabama,Tuscaloosa,100751,The University of Alabama,,,,Map plain University of Alabama in Tuscaloosa to flagship
University of Alabama Tuscaloosa,Alabama,Tuscaloosa,100751,The University of Alabama,,,,Map Tuscaloosa suffix to flagship
UNIVERSITY OF ALABAMA IN TUSCALOOSA,Alabama,Tuscaloosa,100751,The University of Alabama,,,,Map "in Tuscaloosa" wording to flagship
University of Alabama in Tuscaloosa,Alabama,Tuscaloosa,100751,The University of Alabama,,,,Map mixed-case "in Tuscaloosa" wording to flagship
UNIVERSITY OF CONNECTICUT STORRS,Connecticut,Storrs-Mansfield,129020,University of Connecticut,,,,Map Storrs-Mansfield source city to University of Connecticut
University of Oregon Eugene,Oregon,Eugene,209551,University of Oregon,,,,Map Eugene suffix to University of Oregon
UNIVERSITY OF MARYLAND ES,Maryland,Princess Anne,163338,University of Maryland Eastern Shore,,,,Map Grant Witness ES abbreviation in Princess Anne to UMES
UNIVERSITY OF MIAMI CORAL GABLES,Florida,Coral Gables,135726,University of Miami,,,,Map Coral Gables suffix to University of Miami
David Lipscomb University,Tennessee,Nashville,219976,Lipscomb University,,,,Map former/name variant to Lipscomb University
The Leland Stanford Junior University,California,Stanford,243744,Stanford University,,,,Map Stanford legal name to Stanford University
University of Vermont & State Agricultural College,Vermont,Burlington,231174,University of Vermont,,,,Map land-grant legal name to University of Vermont
University of Pittsburgh - of the Commonwealth System of Higher Education,Pennsylvania,Pittsburgh,215293,University of Pittsburgh-Pittsburgh Campus,,,,Map Pittsburgh legal/system wording to Pittsburgh campus
University of Kansas Center for Research Inc,Kansas,Lawrence,155317,University of Kansas,,,,Map single-campus KU research corporation in Lawrence to University of Kansas
California Polytechnic State University Foundation,California,San Luis Obispo,110422,California Polytechnic State University-San Luis Obispo,,,,Map single-campus Cal Poly foundation in San Luis Obispo to Cal Poly
Georgia Southern University Research & Service Foundation Inc,Georgia,Statesboro,139931,Georgia Southern University,,,,Map single-campus Georgia Southern foundation in Statesboro to Georgia Southern
University of Texas Health Sciences Center,Texas,San Antonio,228644,The University of Texas Health Science Center at San Antonio,,,,Map exact health sciences center to its own tracker profile, not parent campus
Texas Tech University Health Sciences Center at El Paso,Texas,El Paso,492689,Texas Tech University Health Sciences Center-El Paso,,,,Map exact El Paso health sciences center to its own tracker profile
