event_year,event_date,classification,record_kind,school_name_source,institution_name_ipeds,unitid,unitid_match_method,opeid8,opeid6,state,sector,institutional_category,tracker_category,student_headcount,student_headcount_year,ipeds_first_seen_year,ipeds_last_seen_year,ipeds_last_act,ipeds_last_closedat,institution_status,is_active,source_group,source_file,source_section,event_label,source_title,source_url,classification_basis,sch_type,closed_count,pgm_length,notes
2024,06/15/24,branch_campus,closure,Troy University - Pacific Region,Troy University,102368,opeid6,00104715,1047,Alabama,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",17550,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,06/15/24,branch_campus,closure,Troy University - Misawa,Troy University,102368,opeid6,00104730,1047,Alabama,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",17550,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,06/15/24,branch_campus,closure,Troy University - Osan AFB,Troy University,102368,opeid6,00104775,1047,Alabama,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",17550,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,06/15/24,branch_campus,closure,Troy University - Camp Humphreys,Troy University,102368,opeid6,00104778,1047,Alabama,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",17550,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,06/30/24,branch_campus,closure,Northern Maine Community College - Houlton Center,Northern Maine Community College,161484,opeid6,00576001,5760,ME,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,1220,2023,2008,2024,A,-2,,A,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,08/01/24,branch_campus,closure,Montreat College - Asheville campus,Montreat College,199032,opeid6,00294808,2948,North Carolina,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1287,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,08/15/24,branch_campus,closure,Montreat College - Western Piedmont Community College,Montreat College,199032,opeid6,00294820,2948,North Carolina,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1287,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,12/31/24,branch_campus,closure,"Troy University - Kuala Lumpur, Malaysia",Troy University,102368,opeid6,00104773,1047,Alabama,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",17550,2024,2008,2024,A,-2,Active - institution active,Yes,monthly_closed_school_report,MONTHLY_CLOSED_REPORT_SECTION_1_2026040107063586645.zip,Section I + Section II,Monthly closed school report,,,Section I monthly federal closed-school report.,,,,
2024,2024-01-01,branch_campus,closure,Appalachian State University - Forsyth Technical Community College,Appalachian State University,197869,opeid6,00290645,2906,NC,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",23026,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Appalachian State University - Forsyth Technical Community College
2024,2024-01-01,branch_campus,closure,Columbia College,Columbia College,177065,,,,Missouri,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",8694,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,January 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/january-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the institution’s teach-out plan for closing six additional locations: Jacksonville, 7077 Bonneval Rd #114 , Jacksonville, FL 32216-4050 Mesquite, 3737 Motley Drive, Mesquite, TX 75150 JFTB Los Alamitos, 11206 Lexington Avenue, Suite 110, Los Alamitos, CA 90720 NSB Kings Bay, 918 USS James Madison Rd, Kings Bay, GA 31547-2533 Kansas City, 4240 Blue Ridge Blvd., Suite 400, Kansas City, MO 64133-1702 Springfield, 3271 East Battlefield Road, Suite 250, Springfield, MO 65804"
2024,2024-01-01,branch_campus,closure,Northeastern Oklahoma A & M College,,,,,,Oklahoma,,,,,,,,,,,,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,January 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/january-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Action also mentions reopening at a new location. Approved the institution’s Request to close an additional location at PO Box 450791, Grove, OK 74345 and reopen at: 104 East 3rd Street, Grove, OK 74344."
2024,2024-01-01,branch_campus,closure,Rasmussen University,,,,,,Minnesota,,,,,,,,,,,,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,January 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/january-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the institution’s teach-out plan for the closing of a branch campus: Ocala Branch Campus, 4755 Southwest 46th Court, Ocala, FL 34474."
2024,2024-01-01,branch_campus,closure,University of North Texas - Collin Higher Education Center,University of North Texas,227216,opeid6,00359433,3594,TX,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",52668,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,University of North Texas - Collin Higher Education Center
2024,2024-01-15,branch_campus,closure,University of North Texas - UNT Design Research Center,University of North Texas,227216,opeid6,00359435,3594,TX,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",52668,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,University of North Texas - UNT Design Research Center
2024,2024-01-16,branch_campus,closure,Remington College - Knoxville,Remington College-Online Dallas,497000,opeid8,03026523,30265,TN,Private not-for-profit,4-year or above,4-year or above,349,2023,2021,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Remington College - Knoxville
2024,2024-01-22,branch_campus,closure,Park University - Luke Air Force Base,Park University,178721,opeid6,00249803,2498,AZ,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",8746,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Park University - Luke Air Force Base
2024,2024-01-31,branch_campus,closure,Union Institute & University - Sacramento Center,Union Institute & University,206279,opeid6,01092302,10923,CA,Private not-for-profit,4-year or above,4-year or above,1098,2023,2008,2023,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Union Institute & University - Sacramento Center
2024,2024-02-01,branch_campus,closure,Columbia College,Columbia College,177065,,,,Missouri,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",8694,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the institution’s teach out of an additional location: Salt Lake City, 5250 South Commerce Dr #300, Murray, UT 84107."
2024,2024-02-01,branch_campus,closure,Lakeland University,Lakeland University,238980,,,,Wisconsin,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",3611,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the institution’s teach out of an additional location: Lakeland University Green Bay Center, 2601 Development Drive, Green Bay, WI 54311."
2024,2024-02-01,branch_campus,closure,Lorain County Community College,,,,,,Ohio,,,,,,,,,,,,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the teach out of an additional location: BGSU Firelands, 1 University Drive, Huron, OH 44839"
2024,2024-02-01,branch_campus,closure,Metropolitan State University - Dental Education Center,Metropolitan State University,174020,opeid6,01037414,10374,MN,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",8185,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Metropolitan State University - Dental Education Center
2024,2024-02-01,branch_campus,closure,University of Dayton,University of Dayton,202480,,,,Ohio,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",12174,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Action also mentions reopening at a new location. Approved the institution’s request to close the additional location at University of Dayton – Emerald Professional Building, 5747 Perimeter Drive, Dublin, OH 43017, and re-open at St. Francis DeSales High School, 4212 Karl Rd, Columbus, OH 43224."
2024,2024-02-01,branch_campus,closure,University of Dubuque,University of Dubuque,153278,,,,Iowa,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",2087,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the institution’s teach out of an additional location: 2900 S. Diablo Way, Suite D281, Tempe, AZ 85282."
2024,2024-02-01,branch_campus,closure,Western Michigan University,Western Michigan University,172699,,,,Michigan,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",18447,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Action also mentions reopening at a new location. Approved the institution’s request to close the additional location at 17 Xuchang Street, Zhongzheng District, Taipei City 100, Taiwan, and reopen at 3F, No. 121, Sec. 1, Chongqing S. Rd, Zhongzheng District, Taipei City 100, Taiwan."
2024,2024-02-01,branch_campus,closure,Wilmington College,Wilmington College,206507,,,,Ohio,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1024,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,February 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/february-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the teach-out plan for the closing of a branch campus: Wilmington College Cincinnati, 181 Main Building, 3520 Central Parkway, Cincinnati, OH 45223"
2024,2024-02-09,branch_campus,closure,California Lutheran University - Woodland Hills Center,California Lutheran University,110413,opeid6,00113301,1133,CA,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",3925,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,California Lutheran University - Woodland Hills Center
2024,2024-02-20,branch_campus,closure,Riverland Community College - Waseca Prison,Riverland Community College,173063,opeid6,00233509,2335,MN,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,4324,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Riverland Community College - Waseca Prison
2024,2024-03-31,branch_campus,closure,Park University - Lackland Air Force Base,Park University,178721,opeid6,00249824,2498,TX,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",8746,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Park University - Lackland Air Force Base
2024,2024-04-01,branch_campus,closure,John Brown University,John Brown University,107141,,,,Arkansas,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",2776,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,April 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/april-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the teach out of an additional location: JBU Rogers Center, 2807 Ajax Ave, Suite 200, Rogers, AR 72758."
2024,2024-04-01,branch_campus,closure,Rasmussen University,,,,,,Minnesota,,,,,,,,,,,,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,April 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/april-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the teach out of a branch campus: Lake Elmo, 8565 Eagle Point Circle, Lake Elmo, MN 55042."
2024,2024-04-01,branch_campus,closure,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,240453,,,,Wisconsin,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",26166,2024,2008,2024,A,-2,Active - institution active,Yes,accreditation_actions,accreditation_tracker_actions_joined.csv,HLC,Accreditation closure / teach-out action,April 2024 Actions | The Higher Learning Commission,https://www.hlcommission.org/for-students/accreditation-actions/april-2024/,Accreditation action about institution-wide closure/teach-out or branch/main-campus teach-out (program-only teach-outs excluded).,,,,"Accreditation action references institution-level closure/teach-out or branch/main-campus teach-out. Approved the teach-out of an additional location: UW Washington County, 400 University Dr, West Bend, WI 53095-3699."
2024,2024-04-12,branch_campus,closure,Geisinger Commonwealth School of Medicine -,Geisinger Commonwealth School of Medicine,456542,opeid6,04167201,41672,PA,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",793,2024,2010,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Geisinger Commonwealth School of Medicine -
2024,2024-04-28,branch_campus,closure,Mercy College of Ohio - at St. Elizabeth Health Center,Mercy College of Ohio,203960,opeid6,03097001,30970,OH,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1517,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Mercy College of Ohio - at St. Elizabeth Health Center
2024,2024-05-01,branch_campus,closure,Fond du Lac Tribal & Community College - MCF-Moose Lake,Fond du Lac Tribal and Community College,380368,opeid6,03129104,31291,MN,Public,4-year or above,4-year or above,2029,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Fond du Lac Tribal & Community College - MCF-Moose Lake
2024,2024-05-10,branch_campus,closure,Suffolk University - -Madrid Campus,Suffolk University,168005,opeid6,00221804,2218,Massachusetts,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",7246,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Suffolk University - -Madrid Campus
2024,2024-05-15,branch_campus,closure,Paul Mitchell The School Tinley Park - Bradley,Paul Mitchell the School-Tinley Park,143376,opeid6,03065303,30653,IL,Private for-profit,Less than 2 years,Less than 2 years,250,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Paul Mitchell The School Tinley Park - Bradley
2024,2024-05-16,branch_campus,closure,Fort Scott Community College-Burke Street Site,Fort Scott Community College,155098,opeid6,00191609,1916,KS,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,2059,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Fort Scott Community College-Burke Street Site
2024,2024-05-17,branch_campus,closure,Columbus State Community College - Westerville Regional Learning Cente,Columbus State Community College,202222,opeid6,00686707,6867,OH,Public,At least 2 but less than 4 years,At least 2 but less than 4 years,41228,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Columbus State Community College - Westerville Regional Learning Cente
2024,2024-05-18,branch_campus,closure,University of Wisconsin - Milwaukee - Washington,University of Wisconsin-Milwaukee,240453,opeid6,00389616,3896,WI,Public,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",26166,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,University of Wisconsin - Milwaukee - Washington
2024,2024-05-29,branch_campus,closure,School Closure Test,,,,00123456,1234,,,,,,,,,,,,,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,School Closure Test
2024,2024-05-31,branch_campus,closure,Fisher College - Attleboro Campus,Fisher College,165802,opeid6,00215001,2150,MA,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",2875,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Fisher College - Attleboro Campus
2024,2024-06-01,branch_campus,closure,Marian University - Ascension NE Wisconsin - Mercy Campus,Marian University,239080,opeid6,00386179,3861,WI,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1758,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Marian University - Ascension NE Wisconsin - Mercy Campus
2024,2024-06-01,branch_campus,closure,Marian University - Center for Health Professions,Marian University,239080,opeid6,00386184,3861,WI,Private not-for-profit,"Degree-granting, primarily baccalaureate or above","Degree-granting, primarily baccalaureate or above",1758,2024,2008,2024,A,-2,Active - institution active,Yes,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Marian University - Center for Health Professions
2024,2024-06-03,branch_campus,closure,Trinity International University - North Fort Lauderdale,Trinity International University-Florida,135610,opeid8,00177201,1772,FL,Private not-for-profit,4-year or above,4-year or above,157,2023,2008,2024,D,06/03/2024,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Trinity International University - North Fort Lauderdale
2024,2024-06-03,branch_campus,closure,Trinity International University - Kendall,Trinity Law School,123448,opeid6,00177218,1772,FL,Private not-for-profit,4-year or above,4-year or above,543,2023,2008,2024,A,-2,,A,peps_closures_2024_sheet,closures_sep24.xlsx,PEPS closures in 2024,PEPS closure row,,,PEPS closure row from September 2024 workbook.,,,,Trinity International University - Kendall
