action_id,source_unitid,source_institution_name,source_accreditor,source_action_date,source_action_type,source_action_label_raw,source_generated_statement,source_source_url,source_source_title,source_row_origin,override_unitid,override_institution_name,override_accreditor,override_action_date,override_action_type,override_action_label_raw,override_generated_statement,override_source_url,override_source_title,first_seen,review_status,reviewer,reviewer_notes,reviewed_at,grandfathered
9772f758ccdf,110413,California Lutheran University,WSCUC,2021-02-19,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/102809,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
96e697639a3a,110574,California State University-East Bay,WSCUC,2025-06-27,notice,Schedule the next reaffirmation review with the Offsite Review in fall 2030 and the Accreditation Visit in spring 2031 5.,"Issued a Notice of Concern over Standard 3, CFRs 3.4 and 3.5 on financial sustainability and resource planning",https://ope.ed.gov/dapip/#/institution-profile/102960,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
e520fcf71f47,110778,Sofia University,WSCUC,2019-06-28,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/103103,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
1ee8f7336520,110778,Sofia University,WSCUC,2020-06-26,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/103103,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
3814ac3a2ab3,110778,Sofia University,WSCUC,2020-02-14,warning,Probation or Equivalent or a More Severe Status: Warning,Placed on Warning,https://ope.ed.gov/dapip/#/institution-profile/103103,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
d0e909fb994e,112084,San Diego Christian College,WSCUC,2023-11-15,show_cause,"These ac�ons were taken a�er reviewing SDCC’s request for considera�on of new evidence of compliance with WSCUC Standards pursuant to the ins�tu�on’s appeal of the withdrawal of its accredita�on eﬀec�ve July 14, 2023.","Continued Show Cause because it has not demonstrated compliance with Standard 3, CFR 3.4 on financial sustainability and resource planning",https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
2097a9ab3f0f,112084,San Diego Christian College,WSCUC,2023-06-30,adverse_action,Loss of Accreditation or Preaccreditation: Denial,Loss of accreditation or Preaccreditation: Denial,https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
bc5bcaae4f0d,112084,San Diego Christian College,WSCUC,2019-06-28,probation,Probation or Equivalent or a More Severe Status: Probation,Placed on Probation,https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
c83848f426bf,112084,San Diego Christian College,WSCUC,2020-11-06,warning,Probation or Equivalent or a More Severe Status: Warning,Placed on Warning,https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
f1e78c4125da,112084,San Diego Christian College,WSCUC,2024-06-28,removed,"At that meeting, the Commission acted to remove a Show Cause Order and impose a Warning.","Removed Show Cause and issued a Warning because it has not demonstrated compliance with Standard 3, CFR 3.4 on financial sustainability and resource planning",https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,warning,,,,,2026-05-15,approved,MV,,2026-06-05,TRUE
8d4db24b4eea,112084,San Diego Christian College,WSCUC,2025-05-20,removed,Accreditation Reaffirmed:  Warning Removed,Warning removed,https://ope.ed.gov/dapip/#/institution-profile/103404,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
2a4813bb6213,112394,University of Silicon Valley,WSCUC,2020-02-14,removed,Accreditation Reaffirmed:  Warning Removed,Warning removed,https://ope.ed.gov/dapip/#/institution-profile/103538,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
c5929de3228e,112570,California College of ASU,WSCUC,2025-12-31,adverse_action,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,Institution closed and no longer accredited,https://ope.ed.gov/dapip/#/institution-profile/103592,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
7150f3eee439,112570,California College of ASU,WSCUC,2025-06-27,warning,"At that meeting, the Commission acted to continue the sanction of Warning.","Placed on Warning because it has not demonstrated compliance with Standard 3, CFRs 3.4 and 3.5 on financial sustainability and resource planning",https://ope.ed.gov/dapip/#/institution-profile/103592,DAPIP Institutional Accreditation Action,scraper,,,,,,,"Continued the sanction of Warning because, although the college had demonstrated improvement with some of the issues identified by the commission, it found CCASU had not demonstrated that it is in compliance with WSCUC Standard 3 (concerning financial stability and resource planning).",,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
44e102e8d5ee,112570,California College of ASU,WSCUC,2021-06-25,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/103592,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
41be7f35348a,112570,California College of ASU,WSCUC,2023-12-11,warning,"Continue with the previously scheduled Special Visit in spring 2024 to address the requirements in this letter in addition to the specified requirements retained from the previous Commission Action Letter of July 7, 2021 Warning A Warning reflects the Commission’s finding that an institution fails to meet one or more of the Standards of Accreditation.",Removed Notice of Concern and issued a Warning because it is out of compliance with standards concerning financial sustainability and shared governance,https://ope.ed.gov/dapip/#/institution-profile/103592,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
cf1cbb96ae25,115083,Golden Gate University,WSCUC,2025-06-27,notice,The Commission recognizes the significant improvements made while acknowledging that continued monitoring through a Notice of Concern is appropriate to ensure long-term institutional stability.,Continued Notice of Concern because it is at risk of non-compliance with standards concerning financial sustainability,https://ope.ed.gov/dapip/#/institution-profile/104230,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
608155defef3,115083,Golden Gate University,WSCUC,2021-06-25,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/104230,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
3f72741017f8,115083,Golden Gate University,WSCUC,2024-03-25,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/104230,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
4f1d3ff66e0c,115773,Humphreys University-Stockton and Modesto Campuses,WSCUC,2024-06-28,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/104443,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
2deeb599de4a,115773,Humphreys University-Stockton and Modesto Campuses,WSCUC,2024-06-01,removed,"Following a Special Visit – Remove the Warning, Reaffirm Accreditation for 6 Years","Remove the warning, reaffirm accreditation for 6 years",https://www.wscuc.org/post/june-2024-commission-actions/,June 2024 Commission Actions - WSCUC,scraper,,,,,,,Removed the warning and reaffirmed accreditation for 6 years,,,2026-05-15,approved,MV,,2026-06-05,TRUE
71684bcaa1fa,117751,The Master's University and Seminary,WSCUC,2019-02-22,probation,Probation or Equivalent or a More Severe Status: Probation,Placed on Probation,https://ope.ed.gov/dapip/#/institution-profile/104832,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
036d076140aa,117751,The Master's University and Seminary,WSCUC,2020-11-06,removed,Accreditation Reaffirmed: Probation Removed,Probation removed,https://ope.ed.gov/dapip/#/institution-profile/104832,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
de782e6d2456,118693,Menlo College,WSCUC,2019-02-22,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/105172,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
57c10dfaa0a4,118693,Menlo College,WSCUC,2023-06-30,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/105172,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
c340f893fb8f,119775,Newschool of Architecture and Design,WSCUC,2024-02-16,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/105543,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
76bd06993d27,120184,Notre Dame de Namur University,WSCUC,2020-02-26,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/105640,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
f6c503aa311c,120184,Notre Dame de Namur University,WSCUC,2024-02-16,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/105640,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
362885f68346,120184,Notre Dame de Namur University,WSCUC,2026-02-01,removed,Following a Special Visit – Remove Notice of Concern,Remove notice of concern,https://www.wscuc.org/post/february-2026-commission-actions/,February 2026 Commission Actions - WSCUC,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
005ca4b74361,120865,Pacific Union College,WSCUC,2021-06-25,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/105792,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
fd0616b41491,123457,Simpson University,WSCUC,2021-06-25,removed,Removal of Monitoring Status,Monitoring status removed,https://ope.ed.gov/dapip/#/institution-profile/106607,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
6b21bfa88e71,123457,Simpson University,WSCUC,2019-02-22,removed,Accreditation Reaffirmed: Probation Removed,Probation removed,https://ope.ed.gov/dapip/#/institution-profile/106607,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
86e5babe2a04,123554,Saint Mary's College of California,WSCUC,2024-02-16,notice,Heightened Monitoring or Focused Review,Received heightened monitoring or focused review,https://ope.ed.gov/dapip/#/institution-profile/106652,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
c34274369b37,123572,Sonoma State University,WSCUC,2026-02-01,notice,Defer Action on Reaffirmation of Accreditation/Issue a Notice of Concern,Issued a Notice of Concern over standards concerning financial sustainability and shared governance,https://www.wscuc.org/post/february-2026-commission-actions/,February 2026 Commission Actions - WSCUC,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
21d12f8f4485,125897,Woodbury University,WSCUC,2024-06-28,notice,"Procedural History Simultaneous with the WSCUC reaffirmation review, Woodbury University was undergoing a Change of Control to the University of Redlands.",Issued a Notice of Concern over standards concerning financial sustainability and leadership capacity,https://ope.ed.gov/dapip/#/institution-profile/107169,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
56b15b6f908f,125897,Woodbury University,WSCUC,2025-06-27,removed,"Procedural History Following the 2023 reaffirmation of accreditation review of University of Redlands, the 2024 reaffirmation of accreditation review of Woodbury University, and the 2024 change of control approval of Woodbury University to become a subsidiary of the University of Redlands, all areas for development from the WSCUC reviews were combined into a single Special Visit review of University of Redlands together with Woodbury University.",Removed Notice of Concern,https://ope.ed.gov/dapip/#/institution-profile/107169,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
6a0717330047,128498,Albertus Magnus College,NECHE,2023-03-15,notice,"At its meeting on March 2, 2023, the New England Commission of Higher Education (NECHE) issued Albertus Magnus College a Notation because the Commission found that the College is in danger of not meeting the Commission’s Standard on Institutional Resources, specifically that…",Received a notation because the Commission found that the College is in danger of not meeting the Commission’s Standard on Institutional Resources,https://www.neche.org/commission-statements/joint-statement-by-albertus-magnus-college-and-the-commission-march-15-2023/,"Joint Statement by Albertus Magnus College and the Commission March 15, 2023",scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
ea481fdf4ed4,132602,Bethune-Cookman University,SACSCOC,2019-06-11,probation,Probation or Equivalent or a More Severe Status: Probation,Placed on probation,https://ope.ed.gov/dapip/#/institution-profile/109077,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
972ac69eaf2c,132602,Bethune-Cookman University,SACSCOC,2020-09-03,removed,"Chrite: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on September 3, 2020: The SACSCOC Board of Trustees reviewed the institution's Second Monitoring Report following review of a Special Report and a Special Committee Report and recommended removal from Probation.",Removed from probation,https://ope.ed.gov/dapip/#/institution-profile/109077,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
691588399ea5,133553,Embry-Riddle Aeronautical University-Daytona Beach,SACSCOC,2019-06-13,warning,Probation or Equivalent or a More Severe Status: Warning,Placed on warning,https://ope.ed.gov/dapip/#/institution-profile/109299,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
a18ccdc699b1,133553,Embry-Riddle Aeronautical University-Daytona Beach,SACSCOC,2020-12-06,removed,Accreditation Reaffirmed:  Warning Removed,Warning removed,https://ope.ed.gov/dapip/#/institution-profile/109299,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
93ddd169fdb6,133979,Florida Memorial University,SACSCOC,2021-06-17,probation,Probation or Equivalent or a More Severe Status: Probation,Placed on probation,https://ope.ed.gov/dapip/#/institution-profile/109448,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
7b52d32e5b1c,133979,Florida Memorial University,SACSCOC,2025-12-07,notice,Probation is the most serious public sanction imposed by the SACSCOC Board of Trustees short of loss of accreditation.,"Placed on probation for good cause for twelve months for failure to comply with Standard 13.3 (Financial responsibility), Standard 13.4 (Control of finances), and Standard 13.6 (Federal and state responsibilities)",https://ope.ed.gov/dapip/#/institution-profile/109448,DAPIP Institutional Accreditation Action,scraper,,,,,probation,"McCormick: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees placed the institution on Probation for Good Cause. For twelve months for failure to comply with Standard 13.3 (Financial responsibility), Standard 13.4 (Control of finances), and Standard 13.6 (Federal and state responsibilities).",,,,2026-05-15,approved,MV,,2026-06-05,TRUE
e2c4b6d81d05,133979,Florida Memorial University,SACSCOC,2022-06-01,removed,removed from Probation,Removed from probation,https://web.archive.org/web/20220703182506id_/https://sacscoc.org/institutions/accreditation-actions-and-disclosures/june-2022-accreditation-actions-and-public-disclosure-statements/,June 2022 Accreditation Actions and Public Disclosure Statements - SACSCOC,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
8b2d0c9de397,134945,Jacksonville University,SACSCOC,2024-12-08,warning,"Tim Cost President Jacksonville University 2800 University Boulevard North Jacksonville, FL 32211-3394 Dear President Cost: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 8, 2024: The SACSCOC Board of Trustees reviewed the institution’s Monitoring Report and placed the institution on Warning for twelve months for failure to comply with Standard 13.3 (Financial responsibility) of the Principles of Accreditation. A Special Committee was not authorized to visit the institution.",Placed on warning for twelve months for failure to comply with Standard 13.3 (Financial responsibility),https://ope.ed.gov/dapip/#/institution-profile/109697,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
0b7991cf2519,134945,Jacksonville University,SACSCOC,2025-12-07,removed,"January 6, 2026 Brother Chris Englert Interim President Christian Brothers University 650 East Parkway South Memphis, TN 38104 Dear Brother Englert: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees removed the institution from Probation for Good Cause.",Removed from probation for good cause,https://ope.ed.gov/dapip/#/institution-profile/109697,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,reject,grandfathered,,2026-05-15,TRUE
8caaafbc40d2,134945,Jacksonville University,SACSCOC,2025-12-07,removed,"Cost: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 7, 2025: The SACSCOC Board of Trustees removed the institution from Warning and requested a Fifth-Year Follow-Up Report to provide oversight and ensure continuing compliance.",Removed from warning,https://ope.ed.gov/dapip/#/institution-profile/109697,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
570969f24783,137032,Saint Leo University,SACSCOC,2023-12-03,show_cause,"Dadez: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 3, 2023: The SACSCOC Board of Trustees reviewed a Second Monitoring Report following action on reaffirmation of accreditation in December 2021.",Placed on probation for failure to comply with Standard 13.3 (Financial responsibility),https://ope.ed.gov/dapip/#/institution-profile/110316,DAPIP Institutional Accreditation Action,scraper,,,,,probation,,,,,2026-05-15,approved,MV,,2026-06-05,TRUE
6d1f1bdf6fbf,137032,Saint Leo University,SACSCOC,2024-12-01,removed,removed from Probation for Good Cause,Removed from probation for good cause,https://web.archive.org/web/20241220085302id_/https://sacscoc.org/institutions/accreditation-actions-and-disclosures/december-2024-accreditation-actions-and-public-disclosure-statements/,December 2024 Accreditation Actions and Public Disclosure Statements - SACSCOC,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
08afd87cf0e5,137476,St. Thomas University,SACSCOC,2020-09-03,warning,Probation or Equivalent or a More Severe Status: Warning,Placed on warning,https://ope.ed.gov/dapip/#/institution-profile/110459,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
8e14c3aa2d59,137476,St. Thomas University,SACSCOC,2021-06-17,notice,"Armstrong President Saint Thomas University 16401 NW 37th Avenue Miami Gardens, FL 33054-6459 Dear President Armstrong: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC)during its meeting held on June 17, 2021: The SACSCOC Board of Trustees reviewed the institution's Monitoring Report following submission of a Referral Report in September 2020 and removed the institution from Warning.",Removed from warning,https://ope.ed.gov/dapip/#/institution-profile/110459,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
48b71635f57d,138275,Warner University,SACSCOC,2020-09-03,probation,Probation or Equivalent or a More Severe Status: Probation,Placed on probation,https://ope.ed.gov/dapip/#/institution-profile/110653,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
c94f7acd9479,138275,Warner University,SACSCOC,2021-06-01,removed,removed from Probation,Removed from probation,https://web.archive.org/web/20210618190638id_/https://sacscoc.org/institutions/accreditation-actions-and-disclosures/june-2021-accreditation-actions-and-public-disclosure-statements/,June 2021 Accreditation Actions and Public Disclosure Statements - SACSCOC,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
ebe887da7c3b,139579,South University-Savannah,SACSCOC,2024-06-13,warning,"Yoho: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 13, 2024: The SACSCOC Board of Trustees continued accreditation following the review of the institution’s change in ownership/control/governance and placed the institution on Warning for six months for failure to comply with Core Requirement 4.1 (Governing board characteristics) and Standard 4.2.b (Board/administrative distinction). A Special Committee was not authorized to visit the institution.",Placed on warning for six months for failure to comply with Core Requirement 4.1 (Governing board characteristics) and Standard 4.2.b (Board/administrative distinction),https://ope.ed.gov/dapip/#/institution-profile/111188,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
1b76b63fa896,139579,South University-Savannah,SACSCOC,2024-12-08,removed,Accreditation Reaffirmed:  Warning Removed,Warning removed,https://ope.ed.gov/dapip/#/institution-profile/111188,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
81e4ea5f2415,139630,Emmanuel University,SACSCOC,2022-12-04,warning,"White : The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on December 4, 2022: The SACSCOC Board of Trustees reviewed the institution's Follow-Up Report requested in June 2018 that focused on finances and placed the institution on Warning for six (6) months for failure to comply with Core Requirement 13.1 (Financial resources}, Core Requirement 13.2 (Financial documents) , and Standard 13.3 (Financial responsibility) of the Principles of Accreditation. A Special Committee was not authorized to visit the institution.","Placed on warning for failure to comply with Core Requirement 13.1 (Financial resources), Core Requirement 13.2 (Financial documents), and Standard 13.3 (Financial responsibility)",https://ope.ed.gov/dapip/#/institution-profile/111203,DAPIP Institutional Accreditation Action,scraper,,,,,,,,,,2026-05-15,approved,grandfathered,,2026-05-15,TRUE
