unitid,institution_name,accreditor,scraper_action_type,scraper_action_label,scraper_action_date,dapip_action_type,dapip_action_label,dapip_action_date,audit_result,date_delta_days,scraper_source_url,dapip_source_page_url,dapip_file_id,scraper_source_key,dapip_source_key,notes,scraper_public_keep,scraper_public_reason,dapip_public_keep,dapip_public_reason,public_table_strategy,hybrid_candidate,hybrid_reason,public_action_family,scraper_display_reason_source,dapip_display_reason_source,public_display_reason_source
101693,University of Mobile,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2024-06-13,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100496,28292,,101693||university of mobile||SACSCOC||notice||heightened monitoring or focused review||2024-06-13||https://ope.ed.gov/dapip/#/institution-profile/100496||28292,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
101709,University of Montevallo,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2025-06-12,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100502,29397,,101709||university of montevallo||SACSCOC||notice||heightened monitoring or focused review||2025-06-12||https://ope.ed.gov/dapip/#/institution-profile/100502||29397,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
101879,University of North Alabama,SACSCOC,,,,notice,"The institution’s policy and procedures for reporting substantive changes must continue to address all types of substantive changes as defined in SACSCOC policy, ‘Substantive Change Policy and Procedures.’ We appreciate your continued support of SACSCOC’s activities and work.",2023-12-03,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100520,27772,,"101879||university of north alabama||SACSCOC||notice||the institution’s policy and procedures for reporting substantive changes must continue to address all types of substantive changes as defined in sacscoc policy, ‘substantive change policy and procedures.’ we appreciate your continued support of sacscoc’s activities and work.||2023-12-03||https://ope.ed.gov/dapip/#/institution-profile/100520||27772",public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_boilerplate_monitoring,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,pdf_body,
101879,University of North Alabama,SACSCOC,,,,notice,"The institution’s policy and procedures for reporting substantive changes must continue to address all types of substantive changes as defined in SACSCOC policy, ‘Substantive Change Policy and Procedures.’ We appreciate your continued support of SACSCOC’s activities and work.",2023-12-03,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100520,28434,,"101879||university of north alabama||SACSCOC||notice||the institution’s policy and procedures for reporting substantive changes must continue to address all types of substantive changes as defined in sacscoc policy, ‘substantive change policy and procedures.’ we appreciate your continued support of sacscoc’s activities and work.||2023-12-03||https://ope.ed.gov/dapip/#/institution-profile/100520||28434",public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_boilerplate_monitoring,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,pdf_body,
101879,University of North Alabama,SACSCOC,,,,removed,Removal of Monitoring Status,2019-06-02,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100520,0,,101879||university of north alabama||SACSCOC||removed||removal of monitoring status||2019-06-02||https://ope.ed.gov/dapip/#/institution-profile/100520||0,public_action_code,FALSE,routine_or_non_reader_signal,TRUE,left_distress_stage,dapip_backed_keep,FALSE,,removed,raw_title,raw_title,raw_title
101912,Oakwood University,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2024-12-08,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100557,25712,,101912||oakwood university||SACSCOC||notice||heightened monitoring or focused review||2024-12-08||https://ope.ed.gov/dapip/#/institution-profile/100557||25712,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
102049,Samford University,SACSCOC,,,,notice,"Based only on those reviewed standards, the institution is requested to submit a Referral Report due September 8, 2023, addressing the following referenced standards of the Principles: Standard 6.",2023-06-14,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100609,26607,,"102049||samford university||SACSCOC||notice||based only on those reviewed standards, the institution is requested to submit a referral report due september 8, 2023, addressing the following referenced standards of the principles: standard 6.||2023-06-14||https://ope.ed.gov/dapip/#/institution-profile/100609||26607",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
102058,Selma University,"Association for Biblical Higher Education, Commission on Accreditation",,,,removed,"The ABHE Commission on Accreditation reviewed your institution at its February 11-15, 2023, meeting and took the following action: Remove Selma University (AL) from show cause and continue accreditation until 2024 in light of the Commission on Accreditation’s judgment that the institution substantially complies with ABHE’s Institutional Accreditation Standards, including documentation of the appropriateness, rigor, and achievement of its stated student learning outcomes and all other Title IV eligibility requirements; and require that the Self Study, due to coa@abhe.org eight weeks prior to the Fall 2023 Evaluation Team Visit, address the following concerns: • Standard 3: EE 8 (Documented evidence of the outcome of the institution’s request for abatement of delinquent IRS tax liability penalties to ensure that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations).",2023-02-15,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/186636,14902,,"102058||selma university||Association for Biblical Higher Education, Commission on Accreditation||removed||the abhe commission on accreditation reviewed your institution at its february 11-15, 2023, meeting and took the following action: remove selma university (al) from show cause and continue accreditation until 2024 in light of the commission on accreditation’s judgment that the institution substantially complies with abhe’s institutional accreditation standards, including documentation of the appropriateness, rigor, and achievement of its stated student learning outcomes and all other title iv eligibility requirements; and require that the self study, due to coa@abhe.org eight weeks prior to the fall 2023 evaluation team visit, address the following concerns: • standard 3: ee 8 (documented evidence of the outcome of the institution’s request for abatement of delinquent irs tax liability penalties to ensure that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations).||2023-02-15||https://ope.ed.gov/dapip/#/institution-profile/186636||14902",public_action_code,FALSE,non_institutional_accreditor,FALSE,non_institutional_accreditor,drop_from_public_table,FALSE,,removed,raw_title,pdf_body,
102058,Selma University,"Association for Biblical Higher Education, Commission on Accreditation",,,,show_cause,"Stanford Angion, President Selma University 1501 Boynton Street Selma, AL 36701 c/o Dear President Angion: The ABHE Commission on Accreditation reviewed your institution at its April 25, 2022, meeting and took the following action: Order Selma University (AL) to show cause why its accreditation should be continued in light of the Commission on Accreditation’s judgment that the institution fails to comply with the ABHE Institutional Accreditation Standards listed below, and require a show cause report addressing these concerns, due November 15, 2022, followed by a focused evaluation team visit to review institutional compliance in these areas: • COE 7: Catalog (Evidence of a current and accurate catalog available to students and the public) • COE 8: Assessment and Public Accountability (Documented evidence that information is available to the public concerning student achievement and institutional performance outcomes, including graduation rates and rate of recent graduate employment in program related occupations) • COE 15: Student body (Sustained and viable student enrollment in the institution’s educational programs over the past two years) • COE 18: Institutional stability and capacity (documented evidence that the institution has a pattern of stability in enrollment and finances) • COE 19: Financial Base (Financial base indicating that the institution can achieve its mission and goals within a balanced budget and at a safe level of debt) • COE 21, Standard 6b: EE 1 Annual Audit (An institution must have financial records that receive an annual, independent, opinioned audit) • Standard 3: EE 7 (Documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • Standard 6b: EE 3 (Documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken showing the efforts and results of the financial recovery plan) • Standard 6b: EE5 (Appropriate board oversight of financial management to meet public accountability obligations) • Standard 6b: EE 6 (Documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations) • Standard 6b: EE 7 (Documentation of adequate internal controls to safeguard assets and protect personnel from accusations of wrongdoing) • Standard 9b: EE 5 (Documentation that the faculty is involved in academic-related decision- making processes especially related to admissions criteria, curriculum, and student development).",2022-05-09,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/186636,14641,,"102058||selma university||Association for Biblical Higher Education, Commission on Accreditation||show_cause||stanford angion, president selma university 1501 boynton street selma, al 36701 c/o dear president angion: the abhe commission on accreditation reviewed your institution at its april 25, 2022, meeting and took the following action: order selma university (al) to show cause why its accreditation should be continued in light of the commission on accreditation’s judgment that the institution fails to comply with the abhe institutional accreditation standards listed below, and require a show cause report addressing these concerns, due november 15, 2022, followed by a focused evaluation team visit to review institutional compliance in these areas: • coe 7: catalog (evidence of a current and accurate catalog available to students and the public) • coe 8: assessment and public accountability (documented evidence that information is available to the public concerning student achievement and institutional performance outcomes, including graduation rates and rate of recent graduate employment in program related occupations) • coe 15: student body (sustained and viable student enrollment in the institution’s educational programs over the past two years) • coe 18: institutional stability and capacity (documented evidence that the institution has a pattern of stability in enrollment and finances) • coe 19: financial base (financial base indicating that the institution can achieve its mission and goals within a balanced budget and at a safe level of debt) • coe 21, standard 6b: ee 1 annual audit (an institution must have financial records that receive an annual, independent, opinioned audit) • standard 3: ee 7 (documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • standard 6b: ee 3 (documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken showing the efforts and results of the financial recovery plan) • standard 6b: ee5 (appropriate board oversight of financial management to meet public accountability obligations) • standard 6b: ee 6 (documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations) • standard 6b: ee 7 (documentation of adequate internal controls to safeguard assets and protect personnel from accusations of wrongdoing) • standard 9b: ee 5 (documentation that the faculty is involved in academic-related decision- making processes especially related to admissions criteria, curriculum, and student development).||2022-05-09||https://ope.ed.gov/dapip/#/institution-profile/186636||14641",public_action_code,FALSE,non_institutional_accreditor,FALSE,non_institutional_accreditor,drop_from_public_table,FALSE,,show_cause,raw_title,pdf_body,
102058,Selma University,"Association for Biblical Higher Education, Commission on Accreditation",,,,probation,"Stanford Angion, President Selma University 1501 Boynton Street Selma, AL 36703 c/o Dear President Angion: The ABHE Commission on Accreditation reviewed your institution at its February 13-17, 2021 meeting and took the following action: Continue Selma University (AL) on probation and continue accreditation for a second year in light of the Commission on Accreditation’s judgement that the institution fails to comply with the ABHE Institutional Accreditation Standards listed below, require an updated financial recovery plan to be submitted by May 15, 2021, followed by a focused evaluation team visit, and require a special progress report, due November 15, 2021 addressing these concerns: • COE 15 (Sustained and viable student enrollment in its educational programs over the past two years) • COE 18 (Institutional stability and capacity (document with evidence that the institution has a pattern of stability in enrollment and finances) • COE 19 (Financial base indicating that the institution can achieve its mission and goals within a balanced budget and at a safe level of debt) • Standard 3: EE 7 (documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • Standard 6b: EE 3 (documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken, of the efforts and results of the financial recovery plan) • Standard 6b: EE 6 (documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations) • Standard 10: EE 10 (effective library leadership by a credentialed director) Until the institution is removed from probation, the institutional website must disclose that the institution is on probation status (Policy on Communication of Accreditation Decisions).",2021-02-17,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/186636,14640,,"102058||selma university||Association for Biblical Higher Education, Commission on Accreditation||probation||stanford angion, president selma university 1501 boynton street selma, al 36703 c/o dear president angion: the abhe commission on accreditation reviewed your institution at its february 13-17, 2021 meeting and took the following action: continue selma university (al) on probation and continue accreditation for a second year in light of the commission on accreditation’s judgement that the institution fails to comply with the abhe institutional accreditation standards listed below, require an updated financial recovery plan to be submitted by may 15, 2021, followed by a focused evaluation team visit, and require a special progress report, due november 15, 2021 addressing these concerns: • coe 15 (sustained and viable student enrollment in its educational programs over the past two years) • coe 18 (institutional stability and capacity (document with evidence that the institution has a pattern of stability in enrollment and finances) • coe 19 (financial base indicating that the institution can achieve its mission and goals within a balanced budget and at a safe level of debt) • standard 3: ee 7 (documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • standard 6b: ee 3 (documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken, of the efforts and results of the financial recovery plan) • standard 6b: ee 6 (documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations) • standard 10: ee 10 (effective library leadership by a credentialed director) until the institution is removed from probation, the institutional website must disclose that the institution is on probation status (policy on communication of accreditation decisions).||2021-02-17||https://ope.ed.gov/dapip/#/institution-profile/186636||14640",public_action_code,FALSE,non_institutional_accreditor,FALSE,non_institutional_accreditor,drop_from_public_table,FALSE,,probation,raw_title,pdf_body,
102058,Selma University,"Association for Biblical Higher Education, Commission on Accreditation",,,,probation,"Selma, AL 36701 c/o Dear President Cleveland: The ABHE Commission on Accreditation reviewed your institution at its February 12, 2020 meeting and took the following action: Place Selma University (AL) on probation and continue accreditation in light of the Commission on Accreditation’s judgment that the institution fails to comply with the ABHE Institutional Accreditation Standards as listed below, and require a special progress report addressing these concerns, due May 15, 2020, followed by a focused evaluation team visit to review institutional compliance in the areas enumerated below: • COE 18: Institutional stability and capacity (document with evidence that the institution has a pattern of stability in enrollment and finances) • Standard 3, EE 7 (documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • Standard 6a, EE 1 (documentation of qualified personnel to provide basic services to students, faculty, and administration) • Standard 6b, EE 3 (documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken, of the five methods of fund raising included in the Selma University’s Response Letter, dated September 13, 2019) • Standard 6b, EE 6, 7 (documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations; adequate internal controls to safeguard assets and personnel from accusations of wrongdoing) • Standard 7, Core (documentation that the institution has developed and implemented an enrollment management plan that is consistent with its mission and addresses current issues of recruitment, admission, student financial services, and retention) Voice: 407.207.0808 5850 T G Lee Blvd, Suite 130, Orlando, FL 32822 Email: coa@abhe.org Dr.",2020-02-12,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/186636,14639,,"102058||selma university||Association for Biblical Higher Education, Commission on Accreditation||probation||selma, al 36701 c/o dear president cleveland: the abhe commission on accreditation reviewed your institution at its february 12, 2020 meeting and took the following action: place selma university (al) on probation and continue accreditation in light of the commission on accreditation’s judgment that the institution fails to comply with the abhe institutional accreditation standards as listed below, and require a special progress report addressing these concerns, due may 15, 2020, followed by a focused evaluation team visit to review institutional compliance in the areas enumerated below: • coe 18: institutional stability and capacity (document with evidence that the institution has a pattern of stability in enrollment and finances) • standard 3, ee 7 (documentation that the institution demonstrates integrity in financial matters and in compliance with applicable legal and governmental regulations) • standard 6a, ee 1 (documentation of qualified personnel to provide basic services to students, faculty, and administration) • standard 6b, ee 3 (documentation of adequate revenue streams sufficient to realize institutional goals, including a detailed accounting of the status, and any actions already taken, of the five methods of fund raising included in the selma university’s response letter, dated september 13, 2019) • standard 6b, ee 6, 7 (documentation of sufficient financial reserves to enable effective response to unforeseen financial circumstances and enrollment fluctuations; adequate internal controls to safeguard assets and personnel from accusations of wrongdoing) • standard 7, core (documentation that the institution has developed and implemented an enrollment management plan that is consistent with its mission and addresses current issues of recruitment, admission, student financial services, and retention) voice: 407.207.0808 5850 t g lee blvd, suite 130, orlando, fl 32822 email: coa@abhe.org dr.||2020-02-12||https://ope.ed.gov/dapip/#/institution-profile/186636||14639",public_action_code,FALSE,non_institutional_accreditor,FALSE,non_institutional_accreditor,drop_from_public_table,FALSE,,probation,raw_title,pdf_body,
102058,Selma University,"Association for Biblical Higher Education, Commission on Accreditation",,,,warning,"Alvin Cleveland, Sr., President Selma University 1501 Lapsley Street Selma, AL 36701 c/o Dear President Cleveland: The ABHE Commission on Accreditation reviewed your institution at its November 12, 2019 meeting and took the following action: Disapprove the progress reported by Selma University (AL), place the institution on Warning, and require a special progress report due December 15, 2019, including a detailed financial recovery plan, addressing the following with specificity: • Standard 3, EE 7 – Integrity in financial matters and in compliance with applicable legal and governmental regulations.",2019-11-12,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/186636,14638,,"102058||selma university||Association for Biblical Higher Education, Commission on Accreditation||warning||alvin cleveland, sr., president selma university 1501 lapsley street selma, al 36701 c/o dear president cleveland: the abhe commission on accreditation reviewed your institution at its november 12, 2019 meeting and took the following action: disapprove the progress reported by selma university (al), place the institution on warning, and require a special progress report due december 15, 2019, including a detailed financial recovery plan, addressing the following with specificity: • standard 3, ee 7 – integrity in financial matters and in compliance with applicable legal and governmental regulations.||2019-11-12||https://ope.ed.gov/dapip/#/institution-profile/186636||14638",public_action_code,FALSE,non_institutional_accreditor,FALSE,non_institutional_accreditor,drop_from_public_table,FALSE,,warning,raw_title,pdf_body,
102234,Spring Hill College,SACSCOC,,,,notice,"The institution’s policy and procedures for reporting substantive change must continue to address all types of substantive changes as defined in the SACSCOC policy, ‘Substantive Change Policy and Procedures.’ We appreciate your continued support of SACSCOC’s activities and work.",2023-12-03,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100654,27078,,"102234||spring hill college||SACSCOC||notice||the institution’s policy and procedures for reporting substantive change must continue to address all types of substantive changes as defined in the sacscoc policy, ‘substantive change policy and procedures.’ we appreciate your continued support of sacscoc’s activities and work.||2023-12-03||https://ope.ed.gov/dapip/#/institution-profile/100654||27078",public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_boilerplate_monitoring,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,pdf_body,
102234,Spring Hill College,SACSCOC,,,,notice,"Van Brunt: The following action regarding your institution was taken by the Board of Trustees of the Southern Association of Colleges and Schools Commission on Colleges (SACSCOC) during its meeting held on June 15, 2023: The SACSCOC Board of Trustees reviewed the institution's Referral Report and requested a Monitoring Report due April 1, 2024, addressing the following referenced standards of the Principles of Accreditation: Standard 5.",2023-06-15,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100654,27076,,"102234||spring hill college||SACSCOC||notice||van brunt: the following action regarding your institution was taken by the board of trustees of the southern association of colleges and schools commission on colleges (sacscoc) during its meeting held on june 15, 2023: the sacscoc board of trustees reviewed the institution's referral report and requested a monitoring report due april 1, 2024, addressing the following referenced standards of the principles of accreditation: standard 5.||2023-06-15||https://ope.ed.gov/dapip/#/institution-profile/100654||27076",public_action_code,FALSE,routine_or_non_reader_signal,TRUE,heightened_or_removed_monitoring,dapip_backed_keep,FALSE,,monitoring_or_notice,raw_title,pdf_body,pdf_body
102234,Spring Hill College,SACSCOC,,,,notice,Heightened Monitoring or Focused Review,2023-06-15,dapip_only,,,https://ope.ed.gov/dapip/#/institution-profile/100654,0,,102234||spring hill college||SACSCOC||notice||heightened monitoring or focused review||2023-06-15||https://ope.ed.gov/dapip/#/institution-profile/100654||0,public_action_code,FALSE,routine_or_non_reader_signal,FALSE,sacscoc_generic_monitoring_label,drop_from_public_table,FALSE,,monitoring_or_notice,raw_title,raw_title,
